Name,Area (ABD),Area (Filled),Aspect Ratio,Average Blue,Average Green,Average Red,Biovolume (Cylinder),Biovolume (P. Spheroid),Biovolume (Sphere),Calibration Factor,Calibration Image,Capture ID,Capture X,Capture Y,Ch1 Area,Ch1 Peak,Ch1 Width,Ch2 Area,Ch2 Peak,Ch2 Width,Ch2/Ch1 Ratio,Circle Fit,Circularity,Circularity (Hu),Compactness,Convex Perimeter,Convexity,Date,Diameter (ABD),Diameter (ESD),Diameter (FD),Edge Gradient,Elapsed Time,Elongation,Feret Angle Max,Feret Angle Min,Fiber Curl,Fiber Straightness,Filter Score,Geodesic Aspect Ratio,Geodesic Length,Geodesic Thickness,Group ID,Image Height,Image Width,Image X,Image Y,Intensity,Length,Particles Per Chain,Perimeter,Ratio Blue/Green,Ratio Red/Blue,Ratio Red/Green,Roughness,Scatter Area,Scatter Peak,Scatter Width,Sigma Intensity,Source Image,Sphere Complement,Sphere Count,Sphere Unknown,Sphere Volume,Sum Intensity,Symmetry,Time,Timestamp,Transparency,UUID,Volume (ABD),Volume (ESD),Width
finally,71.51335472316708,19.13879942897472,39.119479460827236,9.425271098692333,7.081996295525,-1.4041851145954947,818.3131671215875,7.347539895436331,1.0725680750661688,1.5381842054191899,72,54,54,64,8,1,58,55,25,45,62,529.146751402616,9.180055940454858,33.698896188934654,181.8938661773163,-1.2580628809573757,610.8003995310797,26-07-2023 17:07:33,12.640863031460636,2.5910034069887287,-4.665575644082745,13.368411706511601,4.42470156021148,32.15860517400069,9,58,5.981943445897566,1.653643258112171,93,19.111332182897797,8.357066378005298,946.3442718414855,2,51,84,36,69,8.836552368753566,10.105491511029374,76,160.65414893841074,727.6206997613716,33.53752635350507,55.584633926854536,22.182097542247075,9,23,77,1.9508849382505034,8,98,73,27,67,47,-3.952401690505029,06-09-2023 13:25:52,04-09-2023 23:34:18,233.34340082995448,e5eb3b3e-e815-4e36-b33f-21a6ecef2865,685.9610513753017,143.55081639642233,68.04992865905749
design,72.34814512239717,19.878189294573453,40.98782894346293,9.425271098692333,7.076995275990841,-1.4041851145954947,968.2442499078728,8.09761121426936,1.0867339744339393,1.5297093692250603,31,97,58,71,61,67,14,67,21,80,85,602.3574092982855,9.661103007720962,33.756627919465814,181.44884513737676,-1.233417626665516,720.9515155256728,28-05-2023 05:41:15,12.671788629576106,2.648568831076413,-4.665575644082745,13.756080405645847,5.161529621681856,33.91028253806215,41,54,6.104221653559063,1.653643258112171,6,19.781337520295924,8.357066378005298,1160.63410102399,61,76,68,82,39,9.559702539807533,10.752436260796731,16,162.40916303922506,829.1292996340227,34.67136241307942,61.52624075193563,22.97716094745305,7,37,78,1.9359446315904596,53,22,67,70,65,52,-3.9405768238177075,01-07-2023 07:30:11,07-07-2023 09:45:13,233.1028916783349,6ed040db-6f69-40e7-9e3d-51239071fa60,811.8909180399382,159.41976433166957,71.71579981893775
goal,59.682004373585244,33.318879043196915,69.22226861541688,9.425271098692333,7.076995275990841,-1.427550168088991,5541.111488219595,21.732469297713607,1.0442362763306283,1.4449610072837638,49,66,98,43,73,77,94,87,50,53,50,3720.3846027930854,18.996979424292775,36.744244974453345,164.27931245691823,-1.233417626665516,4080.5379350617886,08-07-2023 06:06:57,14.272188332051826,3.179449964329503,-4.665575644082745,19.38352926404617,18.555650684300886,60.38157675789432,75,4,7.2318984575484215,1.6421203176756505,59,29.50722145026869,8.357066378005298,5483.869056110246,10,7,47,92,27,20.05704373252641,20.143569725161576,75,135.78061575649906,5152.360149813708,58.12759589552384,184.95780292255995,38.4072803670061,5,64,98,1.9807655515705904,62,92,71,48,35,13,-3.704079490071272,03-11-2023 15:10:37,14-02-2023 21:53:46,215.05204693046727,0c011424-253f-49af-bb98-046e7a6772fc,4652.725993022508,489.0829499506758,127.1143315555066
against,67.9783780943286,24.355043001349312,35.6713286782023,9.438287508195032,7.112002412729955,-1.4041851145954947,83.57081612685087,12.639138925559758,0.7255035405557964,1.1822410852657441,78,32,42,41,86,98,82,15,48,14,58,744.5945910655743,10.48066467787803,37.00403776184357,174.55619368156883,-1.356643898124815,71.00112358024603,26-07-2023 10:48:26,14.411353523571453,6.300775181528393,-4.665575644082745,9.848129809534509,9.622872130858656,28.925779768512754,84,15,13.86209460630513,1.653643258112171,91,13.027251457814835,8.365392931423159,206.92549761404302,71,6,90,26,81,2.2698822670860883,4.2308157994322535,6,153.22242256088833,1026.3450819536529,36.74769969717495,16.754132756880026,24.331713415581756,20,7,7,2.7277808845727702,16,42,6,49,47,82,-1.965824087034974,07-11-2023 23:36:35,08-10-2023 05:04:18,223.54581749555788,77bc292f-d0d8-4c1c-9030-096261eeb9d1,68.83747316759154,39.84163140546328,61.28434404738658
game,70.58065680797793,22.866134641855982,43.99594374755203,9.425271098692333,7.162012608071545,-1.4158676413422429,1379.307867436103,11.12872133832064,1.0867339744339393,1.5466590416133197,74,51,61,86,39,20,7,21,53,57,42,862.1185007829918,11.077519372448938,41.08855769692315,182.43203115584788,-1.5045154238759741,1022.9510434024298,06-04-2023 15:45:36,16.599339590241154,2.47587255881336,-4.665575644082745,14.643966781082343,8.139122472829264,36.730550726531746,57,76,5.737387030574572,1.6478817878939107,77,21.315865873691628,8.357066378005298,1489.0037671264945,56,21,2,25,15,11.215949705769846,12.23414842961874,62,158.69329985046386,1189.2952297856202,38.122475919408856,76.43754603471496,25.318180973892876,33,62,25,1.9359446315904596,0,10,24,8,89,38,-3.9878762905669944,30-06-2023 10:32:06,20-08-2023 04:59:37,234.78645573967182,07e8689e-40a7-4295-8b53-e92a2ff27dfd,1157.1507906695535,199.2451405548382,77.61799392577198
ok,70.8280021114535,34.807787402690245,96.75697894445324,9.425271098692333,6.906960611829433,-1.4158676413422429,2915.156315227243,23.242886884952725,0.8317477858140738,1.105967559518577,19,63,52,51,7,52,74,27,40,25,37,4839.698891852513,20.876626298239962,44.00401008874672,170.36471644492886,-0.14902643782368297,2151.3056005685626,20-09-2023 13:25:29,18.16108229507253,8.680146043819349,-4.665575644082745,17.27636230262294,20.03940034233028,86.1968373703367,0,30,18.916260522980323,1.6478817878939107,40,25.86541824537889,8.357066378005298,5651.34269039206,86,13,10,76,63,16.126372641475015,16.032340186317413,31,159.2133040284829,6704.320336563995,62.76923726440634,130.55581793368603,41.513917005866496,85,35,23,2.3243926047515933,49,45,69,46,30,62,-0.5823146846183276,27-03-2023 10:40:19,05-09-2023 22:59:41,220.27995638409232,76851514-6d02-4764-9e4b-5c27ef285435,2447.1380745146025,321.9708334020853,181.13993084995815
guy,69.04505471556705,25.104561495243914,57.139313467097296,9.425271098692333,6.946968768102706,-1.4158676413422429,623.0271621257018,13.39948519396584,0.7750841883429925,1.156816576683355,94,32,89,4,71,83,75,41,74,70,34,1445.419508806151,13.447121592685678,44.13390648244184,167.27026781837245,-0.5187052522015807,467.32800549064797,07-03-2023 20:37:17,18.230664890832344,7.029937219972395,-4.665575644082745,12.786908657810233,10.369793727417665,49.0531613725548,44,81,15.410951903350753,1.6478817878939107,39,18.106324176800612,8.357066378005298,1879.6345971015987,9,74,49,27,25,7.751827112172615,9.13507438637834,87,155.46494057859556,1998.0581931387926,44.160152936642284,47.275114005276464,29.234604414351953,97,24,79,2.428974751371898,18,24,81,97,24,13,-1.5401288862913907,18-02-2023 05:52:40,30-06-2023 14:23:12,216.92548663781957,9f3f2ed8-8fd4-46c3-8760-7d2ba044c5a2,521.9367535873916,121.35760454575065,103.40647752925396
action,72.22447247065938,20.62770778846805,40.1798940320529,9.438287508195032,7.096999354127478,-1.3925025878487463,863.3602226314218,8.857957482675443,1.0725680750661688,1.5212345330309307,5,36,76,74,59,88,31,44,55,13,99,576.2942280870238,9.491845706275482,47.9442006974984,182.55622307397053,-1.3073533895410954,643.8954945871965,08-04-2023 01:32:25,20.27175436645355,2.7189265716280273,-4.665575644082745,13.487213404633387,5.908451218240867,33.15280043468422,44,79,6.253672796256447,1.659404728330431,97,19.316656399197228,8.365392931423159,943.2815301190103,24,93,35,93,86,9.058162905044298,10.303748773054854,8,162.14916095021553,792.9919787981332,34.43750872579221,57.40694492738446,22.69741641599169,58,88,15,1.9658252449105469,1,62,0,16,98,34,-3.9051022237557422,11-02-2023 01:04:52,13-01-2023 05:54:49,232.29275558866905,f5ad52fc-8d99-4efb-b225-f7a3ce87094b,723.796899610147,148.41787664469834,70.13055823628682
win,66.77256973988517,65.40637348452256,200.82909472045722,9.425271098692333,6.906960611829433,-1.427550168088991,45206.484680783506,54.28350954515248,0.9734067794917768,1.1229172319068363,81,77,34,24,57,13,89,83,96,40,5,37058.12109706101,42.586102278378796,48.07409709119351,159.47722495617518,-0.12438118353182337,33221.82766836449,01-11-2023 09:52:20,20.341336962213358,7.989360954767136,-4.665575644082745,32.457968778396264,50.53196984509749,183.77000081170584,70,85,17.448922031042365,1.6421203176756505,37,52.10369178090542,8.357066378005298,52356.62258727544,57,32,53,23,49,44.445866436943284,41.795349656891645,52,150.68740219304544,51376.05287060672,117.08707099339014,739.4259329490683,77.39483401488442,45,20,69,2.070407391530852,82,37,64,92,63,42,-0.9843601519872678,13-09-2023 15:30:02,20-04-2023 23:38:10,209.10261002198354,156166a1-6f95-4093-9cd5-1bd0086c5a4b,37968.40053172155,1954.5781059652554,385.33886221518014
eight,62.38734363034938,69.1438373256997,274.77678022817315,9.425271098692333,6.846948377419524,-1.4158676413422429,57535.20370762083,58.07496593760985,0.9167431820206956,1.0466437061596694,96,81,5,37,2,5,89,37,15,44,11,52002.49207804387,47.85980346025906,53.19778817583396,166.44232169755466,0.7751705981210608,42279.470248893675,22-01-2023 20:48:32,23.085983794961574,12.396313976590978,-4.665575644082745,35.15289150947464,54.25648429280392,253.09990296998376,4,94,26.809998150905834,1.6478817878939107,10,56.76130952959238,8.357066378005298,73761.05981829295,84,49,71,55,6,49.47292649701199,45.39528415156484,66,141.46816145358252,72096.8361262204,130.21122338296328,900.2039585886366,86.11108467936478,6,75,64,2.100288004850939,26,99,23,23,89,1,1.5934607858488752,23-05-2023 03:19:39,26-05-2023 09:06:24,216.45712671098153,39759833-3c2c-4abe-9893-fbf5e8de8620,48323.5177918859,2293.960840044142,530.4309288558463
month,71.38452904427356,20.62770778846805,39.429668757172166,9.425271098692333,7.227025862015613,-1.4158676413422429,1324.76620290547,8.857957482675443,1.0867339744339393,1.6992060931076536,82,71,97,76,58,64,89,97,89,11,55,704.6816924842028,10.25795770229187,54.30912398855879,180.21727528266032,-1.529160678167834,982.880464943288,05-11-2023 06:47:40,23.68130155868442,2.232818545998692,-4.665575644082745,14.537670524868114,5.908451218240867,32.44942419583329,48,67,5.221101264892698,1.6478817878939107,79,21.13215473279214,8.357066378005298,1440.3353427079267,77,90,29,41,94,11.017666594351823,12.056760353069626,36,160.3833134290258,971.0047453372573,36.35794355169627,74.54976278266898,23.963628505764174,53,35,33,1.8612430982902417,79,2,97,4,9,93,-4.283497957750038,23-08-2023 18:51:09,18-08-2023 05:49:50,232.6471901278979,5b81529b-4dec-44e6-92f0-4f968c1f356b,1111.3402461555763,194.20321586650437,68.65854819525383
bar,61.58347139405376,17.639762441185518,34.92110340332157,9.425271098692333,7.0019799829784555,-1.4158676413422429,290.2602036820879,5.8268473586241605,1.0159044775950878,1.3941119901189856,71,75,81,29,82,82,5,16,14,60,33,325.92990686861987,7.576565716234509,54.56891677594901,172.8589041338924,-0.8883840665794782,222.85133555997908,03-09-2023 23:36:45,23.820466750204048,3.588804091175259,-4.665575644082745,11.417562768932822,2.9308583670934567,28.222403529661825,53,35,8.101432378696842,1.6478817878939107,6,15.739692420507241,8.357066378005298,382.88730181243136,48,4,7,85,71,5.1974740886110204,6.849898576716228,52,139.77814787502058,445.8549302393854,29.562013669622495,30.683354266918656,19.53188619156048,13,63,31,2.174989538151157,17,11,73,76,91,82,-3.4912318896994807,24-08-2023 05:50:01,22-10-2023 11:41:52,223.4698672371517,6595b020-f22c-4361-9832-24da12f2051c,242.43968114289004,77.0440410277646,59.81233400635358
record,66.83955909290981,20.62770778846805,37.97971413937381,9.438287508195032,6.991977943910137,-1.4158676413422429,81.4403785644667,8.857957482675443,0.7538353392913371,1.1483417404892253,13,77,64,8,85,27,70,16,49,14,87,366.4096504225233,7.9418051561958105,61.42455977652427,166.11114324922755,-0.8390935579957585,69.4359372913701,01-08-2023 11:37:26,27.492881526416443,7.241010441627239,-4.665575644082745,9.823118925719395,5.908451218240867,31.090014349592547,82,14,15.859305331442908,1.6478817878939107,93,12.984025307014956,8.365392931423159,552.3735949404439,86,49,74,49,2,2.223227417340671,4.189077428479521,81,150.8282366579256,501.9812130712704,30.362785386696885,16.5740840652109,20.135545443661318,8,98,84,2.5783778179723345,55,46,67,62,83,99,-1.4218802194181732,21-07-2023 21:59:10,15-06-2023 08:28:32,214.69761239123844,f42f3f10-767f-44ea-8730-832064a53767,67.04807957966693,39.36075419530427,65.81360571210351
himself,62.371884548882164,22.11661614796138,28.544188566835288,9.425271098692333,7.172014647139863,-1.4158676413422429,29.76803167565744,10.368375069914558,0.7184205908719112,1.2246152662363925,17,5,55,49,81,20,78,88,34,22,3,360.13344938644826,7.8883554820551325,64.0080547177937,173.9869807235066,-1.529160678167834,31.473384296436834,28-03-2023 01:47:31,28.876802042083856,5.475670769604916,-4.665575644082745,9.029023364589571,7.392200876270255,22.24370549942891,21,43,12.109440296490344,1.6478817878939107,14,11.611595019118798,8.357066378005298,146.67699258764083,83,16,50,55,53,0.7419359379236736,2.863884150730259,8,141.43566119245634,493.2790869327625,30.022634568824582,11.59819294999146,20.047205065305096,0,37,44,2.7576614978928573,42,62,8,7,23,55,-2.438818754527844,28-09-2023 22:36:33,25-10-2023 03:05:50,225.26735668609783,33fa0863-4db7-40e5-b666-7f7defdaad94,23.647527585842315,26.07105675090991,47.30024865757309
simple,66.22634886137661,32.56936054930231,53.070784091782514,9.425271098692333,7.076995275990841,-1.4158676413422429,350.71290884823776,20.972123029307525,0.5980104462458636,1.1229172319068363,52,8,1,30,25,88,40,46,57,37,38,2955.7165786101245,17.482571990306887,64.0080547177937,166.85629475796355,-1.2457402538114457,267.26462742178256,03-10-2023 03:36:11,28.876802042083856,7.912607055983558,-4.665575644082745,11.723946095667952,17.808729087741877,45.238697923401666,29,94,17.28588442082704,1.6478817878939107,6,16.269212767805758,8.357066378005298,2811.014354906264,74,78,47,95,67,5.768995997992382,7.361193620887203,69,149.53905963325334,4092.1268076572464,54.24420739148168,34.033351136156305,35.90430298024654,26,35,43,2.7277808845727702,26,44,98,3,89,74,-1.0316596187365548,14-01-2023 21:17:11,06-03-2023 22:55:06,217.29257955344946,23005c14-e0ab-4cb5-83ef-475518804508,293.215017114693,85.99127154405643,95.42365384519039
senior,64.01054718440787,26.593469854737247,37.301625910154684,9.425271098692333,7.232026881549772,-1.4041851145954947,441.4596972714111,14.909902781204957,0.8813284336012698,1.4195364987013748,47,57,72,68,67,56,54,81,79,48,6,923.3143827660258,11.37149258022267,65.8554700947908,178.43719112290214,-1.529160678167834,333.93432547222665,15-07-2023 13:32:22,29.86642118177898,3.3777308695204162,-4.665575644082745,12.124120236709752,11.853543385447058,30.454270441400357,96,93,7.653078950604687,1.653643258112171,1,16.960831180603822,8.357066378005298,664.1053298732126,21,69,83,66,97,6.515473593919058,8.029007556130926,49,144.8806888718326,1274.1450109052246,38.987025914834305,38.73098518243255,25.804053054852083,16,42,83,2.3841538313917674,43,5,76,84,88,10,-3.597655689885377,23-08-2023 21:02:13,19-04-2023 04:20:54,228.4446091627562,290b61bc-a056-4d22-a1c4-20a81b90b24f,369.4349093078516,98.53779511820505,64.48313509809292
body,67.83409333396784,23.615653135750584,20.65960947602137,9.425271098692333,7.452071741052771,-1.427550168088991,1.3950366251768518,11.889067606726728,0.5625956978264379,1.233090102430522,29,20,64,71,59,49,31,30,61,32,7,489.75979145555254,8.912807569751466,67.11113523384354,171.9792113805235,-1.529160678167834,10.628359963661275,14-01-2023 11:22:38,30.539052940790516,5.424501503749196,-4.665575644082745,8.172400593921967,8.88604406938828,14.85149175842825,42,74,12.00074855634679,1.6421203176756505,64,10.131099354222943,8.357066378005298,148.7625738558024,84,55,37,97,63,-0.8559926658568675,1.4343449455991655,63,152.9190867903772,673.0095915923368,32.58793865361155,7.784434299181825,21.740395650465977,30,26,10,2.9817660977935114,53,31,77,54,61,76,-2.4624684879024876,01-02-2023 21:56:04,26-08-2023 12:00:42,225.24203993329579,32cfd643-6e84-4a92-9166-346c0b32748c,-0.1834714117201095,15.885203117541863,31.82998928402435
there,63.67044739212895,23.615653135750584,45.496394297313515,9.412254689189634,7.041988139251728,-1.427550168088991,768.8205164671252,11.889067606726728,1.0513192260145134,1.3686874815365968,39,24,91,67,24,0,24,96,5,69,23,758.2339329819608,10.551930910065602,74.37090034813693,166.44232169755466,-1.0978687280602868,574.439222103378,11-08-2023 10:22:38,34.42794690381122,3.780688838134207,-4.665575644082745,13.412180753188048,8.88604406938828,38.13730320423361,96,34,8.509026404235165,1.6421203176756505,91,19.18697794679759,8.348739824587438,676.9396761388223,91,7,80,78,86,8.918198355808045,9.875930470789346,84,144.1656831270564,1045.2564063552147,37.016985761323866,56.26663654681333,24.44950058672338,25,61,2,2.130168618171026,87,0,30,84,46,56,-3.3848080895135846,08-11-2023 23:43:58,14-08-2023 22:36:41,218.69765933396368,85eeccda-1806-481d-9a2c-db1f4dd319af,644.3912662315504,138.11544671795843,80.56201400783799
